City_ID,City,Lat,Lng,Current Description,Max Temp,Humidity,Cloudiness,Wind Speed,Country
285,Kaitangata,-46.2817,169.8464,scattered clouds,52.16,47,32,15.86,NZ
286,Vao,-22.6667,167.4833,overcast clouds,70.07,74,100,15.32,NC
287,Tuatapere,-46.1333,167.6833,overcast clouds,49.41,61,91,13.29,NZ
288,Redlands,34.0556,-117.1825,few clouds,88.07,47,20,5.75,US
289,Polonne,50.1242,27.5109,overcast clouds,49.08,83,100,17.54,UA
290,Paris,48.8534,2.3488,fog,53.38,95,75,3.44,FR
291,Christchurch,-43.5333,172.6333,broken clouds,56.48,62,75,9.22,NZ
292,Klaksvik,62.2266,-6.589,broken clouds,52.72,89,56,20.13,FO
293,Brae,60.3964,-1.353,scattered clouds,53.31,93,36,15.73,GB
294,Yumbing,9.2393,124.6578,overcast clouds,83.95,72,100,9.8,PH
295,Manali,13.1667,80.2667,light rain,82.49,68,100,5.35,IN
296,Coahuayana,18.7333,-103.6833,overcast clouds,75.2,98,100,4.18,MX
297,Bloemfontein,-29.1211,26.214,clear sky,47.68,57,0,1.14,ZA
298,Champerico,14.3,-91.9167,broken clouds,81.14,80,77,2.21,GT
299,Ancud,-41.8697,-73.8203,overcast clouds,50.29,74,100,4.56,CL
300,Lewiston,44.1003,-70.2148,clear sky,47.41,81,0,0.0,US
301,Taoudenni,22.6783,-3.9836,few clouds,92.35,24,17,9.66,ML
302,Prince Rupert,54.3161,-130.3201,scattered clouds,55.49,85,40,5.75,CA
303,Yeppoon,-23.1333,150.7333,scattered clouds,69.58,70,28,15.77,AU
304,Saryozek,44.3583,77.9753,scattered clouds,40.98,33,26,1.77,KZ
305,Fairbanks,64.8378,-147.7164,light rain,45.61,86,40,0.0,US
306,Kununurra,-15.7667,128.7333,clear sky,87.78,51,0,6.91,AU
307,Dilla,6.41,38.31,light rain,62.71,89,100,3.53,ET
308,Balakhninskiy,58.0106,114.2769,light snow,26.87,93,100,4.29,RU
309,Porto Novo,6.4965,2.6036,scattered clouds,74.05,94,29,3.78,BJ
310,Nichinan,31.6,131.3667,broken clouds,78.48,73,64,4.94,JP
311,Erzin,36.9559,36.2,broken clouds,72.1,84,68,1.99,TR
312,Bima,-8.4667,118.7167,few clouds,86.99,62,20,3.76,ID
